,character_name,character_url,lotr_name,titles,birth,death,race,hair,culture,actor,other names,realms,weapon,rule,spouse,voice,height,children,eyes,gender,parentage,siblings,age,name,lifespan,languages,distinctions,members,purpose,formed,dissolved,also known as,dominions,skin color,realm,title,founder(s),type,revenue,employees
86,Telumehtar,b'https://lotr.fandom.com/wiki/Telumehtar',Telumehtar,king of gondor,ta 1632[1],ta 1850[2],men,,dúnedain (house of anárion)men of gondor,,telumehtar umbardacil,gondor,king's sword,ta 1798,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
87,Narmacil_II,b'https://lotr.fandom.com/wiki/Narmacil_II',Narmacil II,king of gondor,ta 1684[1],ta 1856[1],men,,"dúnedain, men of gondor (house of anárion)",,,,king's sword,ta 1850,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
88,Calimehtar,b'https://lotr.fandom.com/wiki/Calimehtar',Calimehtar,king of gondor,ta 1736[1],ta 1936[2],men,,"dúnedain, men of gondor (house of anárion)",,,gondor,king's sword,ta 1856,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
89,Ondoher,b'https://lotr.fandom.com/wiki/Ondoher',Ondoher,king of gondor,ta 1787[1],ta 1944[2],men,,dúnedainmen of gondor (house of anárion),,,gondor,king's sword,ta 1936,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
90,F%C3%ADriel,b'https://lotr.fandom.com/wiki/F%C3%ADriel',Fíriel,queen of arthedain,ta 1896[1],,men,,men of gondor (house of anárion),,,arthedain,,,arvedui,,,,,female,,,,,,,,,,,,,,,,,,,,
91,E%C3%A4rnil_II,b'https://lotr.fandom.com/wiki/E%C3%A4rnil_II',Eärnil II,king of gondor,ta 1883[1],ta 2043[1],men,,"dúnedain, men of gondor (house of anárion)",,,gondor,king's sword,ta 1945,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
92,E%C3%A4rnur,b'https://lotr.fandom.com/wiki/E%C3%A4rnur',Eärnur,king of gondor,ta 1928[1],ta 2050[2],men,,dúnedainmen of gondor (house of anárion),,,gondor,king's sword,ta 2043,none,,,,,,,,,,,,,,,,,,,,,,,,,
93,Argeleb_II,b'https://lotr.fandom.com/wiki/Argeleb_II',Argeleb II,king of arthedain,ta 1473[1],ta 1670[2],men,,dúnedain of the north (house of isildur),,,arthedain,king's sword,ta 1589,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
94,Finrod,b'https://lotr.fandom.com/wiki/Finrod',Finrod Felagund,"king of nargothrondfaithful,friend-of-men,master of caves",yt 1300[1],fa 465 later came back to life in valinor,elves,golden,"ñoldor (house of finarfin),falmari (house of olwë),elves of nargothrond",,"finarfin (in earlier texts),ingoldo,findarato/artafinde nóm or nómin,felagund",,"sword, bow",,"loved amarië, but they never married",,,,,male,,,,,,,,,,,,,,,,,,,,
95,Amrod,b'https://lotr.fandom.com/wiki/Amrod',Amrod,,years of the trees,fa 538,elves,dark red,ñoldor (house of fëanor),,"damrod[1], ambarussa, ambarto, umbarto, telufinwë",,"sword, bow",,none[2],,,,,,,,,,,,,,,,,,,,,,,,,
96,Finarfin,b'https://lotr.fandom.com/wiki/Finarfin',Finarfin,high king of the ñoldor (in valinor),yt 1230[2],unknown,elves,golden[4],ñoldor (house of finwë),,arafinwëingoldo[1]finarphin[2]finrod[3],tirion,,yt 1496[2],eärwen,,,,,male,,,,,,,,,,,,,,,,,,,,
97,Lurtz,b'https://lotr.fandom.com/wiki/Lurtz',Lurtz,,,,orcs; uruk-hai,,uruk-hai,lawrence makoare,,,"sword, shield, bow",,,,,,,,,,,,ta 3019 - ta 3019,,,,,,,,,,,,,,,
98,Glorfindel,b'https://lotr.fandom.com/wiki/Glorfindel',Glorfindel,lord of the house of the golden flower,possibly yt ?,"fa 510 (gondolin),[1] later re-embodied in sa 1600 immortal",elves,golden[3],"ñoldor (gondolindrim), elves of rivendell",jarl benzon,,,"sword, dirk[2]",,none,,,,,,,,,,,,,,,,,,,,,,,,,
99,Gl%C3%B3in,b'https://lotr.fandom.com/wiki/Gl%C3%B3in',Glóin,,ta 2783,fo 15,dwarves,white,"durin's folk, dwarves of the lonely mountain",peter hambleton,,,axe,,unnamed wife,"jack deleon, in the rankin/bass version of the hobbit",,gimli,,,,,253 (at death),,,,,,,,,,,,,,,,,
100,Balin,b'https://lotr.fandom.com/wiki/Balin',Balin,lord of moria,ta 2763,ta 2994,dwarves,white,durin's folk,ken stott,,khazad-dûm,sword,ta 2989 - ta 2994,,"don messick, in the 1977 rankin/bass version of the hobbit",,,,,,dwalin,231 (at death),,,,,,,,,,,,,,,,,
101,Dwarves_named_%22Durin%22,b'https://lotr.fandom.com/wiki/Dwarves_named_%22Durin%22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Fr%C3%B3r,b'https://lotr.fandom.com/wiki/Fr%C3%B3r',Frór,,ta 2552,ta 2589,dwarves,,"durin's folk, dwarves of the grey mountains",brett beattie,,,axe,,none,,,none,,male,dáin i,"thror,gror",37,,,,,,,,,,,,,,,,,
103,Gamil_Zirak,b'https://lotr.fandom.com/wiki/Gamil_Zirak',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,M%C3%AEm,b'https://lotr.fandom.com/wiki/M%C3%AEm',Mîm,,early first age ?,fa 502,dwarves,,petty-dwarves,,,,battle axe,,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
105,Telchar,b'https://lotr.fandom.com/wiki/Telchar',Telchar,,first age,first age ?,dwarves,,dwarves of nogrod,,,,,,unknown,,,,,male,,,,,,,,,,,,,,,,,,,,
106,Adamanta_(Chubb)_Took,b'https://lotr.fandom.com/wiki/Adamanta_(Chubb)_Took',Adamanta Chubb,,ta 2817 (sr 1217),ta 2923 (sr 1323),hobbits,,hobbit of the shire (took family),,,,,,"gerontius ""the old"" took",,,,,female,,,,,,,,,,,,,,,,,,,,
107,Bell_(Goodchild)_Gamgee,b'https://lotr.fandom.com/wiki/Bell_(Goodchild)_Gamgee',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Camellia_(Sackville)_Baggins,b'https://lotr.fandom.com/wiki/Camellia_(Sackville)_Baggins',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Gormadoc_%22Deepdelver%22_Brandybuck,b'https://lotr.fandom.com/wiki/Gormadoc_%22Deepdelver%22_Brandybuck',Gormadoc Brandybuck,master of buckland,sr 1134,sr 1236,hobbits,,bucklander (brandybuck family),,deepdelver,,,,malva headstrong,,,,,male,,,,,,,,,,,,,,,,,,,,
110,Lalia_(Clayhanger)_Took,b'https://lotr.fandom.com/wiki/Lalia_(Clayhanger)_Took',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Linda_(Baggins)_Proudfoot,b'https://lotr.fandom.com/wiki/Linda_(Baggins)_Proudfoot',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Malva_%22Headstrong%22_Brandybuck,b'https://lotr.fandom.com/wiki/Malva_%22Headstrong%22_Brandybuck',Malva Brandybuck,,,,hobbit,,shire-hobbits (headstrong family),,headstrong,,,,gormadoc brandybuck,,,,,female,,,,,,,,,,,,,,,,,,,,
113,Rosa_(Baggins)_Took,b'https://lotr.fandom.com/wiki/Rosa_(Baggins)_Took',Rosa Took,,sr 1256[1],,hobbits,,hobbit of the shire (baggins family) (took family),,rosa baggins,,,,hildigrim took,,,,,female,,,,,,,,,,,,,,,,,,,,
114,Christopher_Tolkien,b'https://lotr.fandom.com/wiki/Christopher_Tolkien',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Denethor_(First_Age),b'https://lotr.fandom.com/wiki/Denethor_(First_Age)',Denethor,king of the laiquendi,years of the trees,yt 1497[1],elves,,nandor (laiquendi),,,ossiriand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Thingol,b'https://lotr.fandom.com/wiki/Thingol',Thingol,"king of doriath, high king of the sindar, high king of the teleri, lord of beleriand",yt 1050[1],fa 502,elves,silver[2],teleri (sindar)(house of thingol)elves of doriath,,"elwë singolloelu thingoltinwelint, grey-cloakking greymantlethingol greycloakdark elfthe hidden king",doriath,aranrúth,"yt 1152[1] – fa 502 (3,836 years)",melian,,"tallest of the eruhíni8'2"" (248 cm)[2]",,,,,,,,,,,,,,,,,,,,,,,
117,Azog,b'https://lotr.fandom.com/wiki/Azog',Azog,,gundabad,ta 2799[1],orcs,,moria orcs,manu bennett,,moria,the mace,ta 2790 - ta 2799,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Boldog,b'https://lotr.fandom.com/wiki/Boldog',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Bolg,b'https://lotr.fandom.com/wiki/Bolg',Bolg,bolg of the north[1],unknown,ta 2941,goblin/orc,,orcs of moria,lawrence makoare (desolation of smaug)john tui (battle of the five armies),,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,
120,Gorgol,b'https://lotr.fandom.com/wiki/Gorgol',Gorgol,orc chieftain,unknown,unknown,orcs,,orcs of morgoth,,the butcher,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,
121,Halbarad,b'https://lotr.fandom.com/wiki/Halbarad',Halbarad,,ta 2916,"march 15, 3019",men,black,"dúnedain of the north, rangers of the north",,,,"sword, bow",,,,,,grey,,,,,,,,,,,,,,,,,,,,,
122,Fram,b'https://lotr.fandom.com/wiki/Fram',Fram,lord of the éothéod,ta 1967,"unknown, sometime after ta 2000",men,,éothéod,,,,,,unknown,,,,,male,,,,,,,,,,,,,,,,,,,,
123,Frumgar,b'https://lotr.fandom.com/wiki/Frumgar',Frumgar,lord of the éothéod,ta 1940[1],ta 2001[1],men,,éothéod,,,,,,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
124,Helm_Hammerhand,b'https://lotr.fandom.com/wiki/Helm_Hammerhand',Helm Hammerhand,king of rohan,ta 2691,ta 2759,men,,rohirrim (house of eorl),,,rohan,king's sword,ta 2741,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
125,Fr%C3%A9a,b'https://lotr.fandom.com/wiki/Fr%C3%A9a',Fréa,,ta 2570[1],ta 2659 (aged 89)[1],men,,rohirrim (house of eorl),,,rohan,king's sword,ta 2645,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
126,Goldwine,b'https://lotr.fandom.com/wiki/Goldwine',Goldwine,,ta 2619[1],ta 2699[1],men,,rohirrim (house of eorl),,,rohan,,ta 2680,,,,,,male,,,,,,,,,,,,,,,,,,,,
127,D%C3%A9or,b'https://lotr.fandom.com/wiki/D%C3%A9or',Déor,,ta 2644,ta 2718,men (rohirrim),,,,,rohan,,ta 2699,,,,,,male,,,,,,,,,,,,,,,,,,,,
128,Brytta_L%C3%A9ofa,b'https://lotr.fandom.com/wiki/Brytta_L%C3%A9ofa',Brytta,king of rohan,ta 2752[1],ta 2842[1],men,,rohirrim (house of eorl),,léofa[1],rohan,king's sword,ta 2798,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
129,Walda,b'https://lotr.fandom.com/wiki/Walda',Walda,king of rohan,ta 2780[1],ta 2851[1],men,,rohirrim (house of eorl),,,,king's sword,ta 2842,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
130,Folca,b'https://lotr.fandom.com/wiki/Folca',Folca,king of rohan,ta 2804[1],ta 2864 (aged 60)[1],men,,rohirrim (house of eorl),,the hunter,,,ta 2851,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
131,Folcwine,b'https://lotr.fandom.com/wiki/Folcwine',Folcwine,king of rohan,ta 2830[1],ta 2903,men,,rohirrim (house of eorl),,,rohan,king's sword,ta 2864,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
132,Fengel,b'https://lotr.fandom.com/wiki/Fengel',Fengel,,ta 2870,ta 2953,men,,rohirrim (house of eorl),,,rohan,,ta 2903,,,,thengel,,,,"folcred, fastred",,,,,,,,,,,,,,,,,,
133,Thengel,b'https://lotr.fandom.com/wiki/Thengel',Thengel,king of rohan,ta 2905,ta 2980,men,,rohirrim (house of eorl),,the thrice-renowned,rohan,king's sword,ta 2953,morwen steelsheen,,,,,,,,,,,,,,,,,,,,,,,,,
134,Th%C3%A9odwyn,b'https://lotr.fandom.com/wiki/Th%C3%A9odwyn',Théodwyn,princess of rohan,ta 2963,ta 3002,men,,rohan,,sister of théoden,rohan,,,éomund,,,,,female,,,,,,,,,,,,,,,,,,,,
135,Morwen_Steelsheen,b'https://lotr.fandom.com/wiki/Morwen_Steelsheen',Morwen,queen of rohan,ta 2922,,men,dark,"men of gondor, rohirrim",,"morwen steelsheen, steelsheen",rohan,,ta 2943-?,thengel,,tall,,brown,female,,,,,,,,,,,,,,,,,,,,
136,Th%C3%A9odred,b'https://lotr.fandom.com/wiki/Th%C3%A9odred',Théodred,"second marshal of rohan, prince of rohan",ta 2978[1],"february 25, 3019[1]",men,,rohirrim (house of eorl),paris howe strewe,,,sword,,,,,,,male,,,,,,,,,,,,,,,,,,,,
137,Elfwine,b'https://lotr.fandom.com/wiki/Elfwine',Elfwine,king of rohan,fo 8,unknown,men,,rohirrim (house of eorl),,elfwine the fair,rohan,,fo 63,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Loth%C3%ADriel,b'https://lotr.fandom.com/wiki/Loth%C3%ADriel',Lothíriel,"princess of dolamroth,queen of rohan",ta 2999[1],unknown,men,,"dúnedain,men of gondor (house of dol amroth),rohirrim",,,rohan,,ta 3021,éomer,,,,,,,,,,,,,,,,,,,,,,,,,
139,Imrahil,b'https://lotr.fandom.com/wiki/Imrahil',Imrahil,prince of dol amroth,ta 2955,fo 34,men,black,dúnedain (house of dol amroth) men of gondor,,imrahil the fair,dol amroth,"sword, lance",ta 3010 - fo 34,unnamed wife,,tall,,grey,,,,100,,,,,,,,,,,,,,,,,
140,Ivriniel,b'https://lotr.fandom.com/wiki/Ivriniel',Ivriniel,,ta 2947[1],unknown,men,,"dúnedain (house of dol amroth), men of gondor",,,,,,unknown,,,,,female,,,,,,,,,,,,,,,,,,,,
141,Finduilas,b'https://lotr.fandom.com/wiki/Finduilas',Finduilas,"princess of the ñoldor, princess of nargothrond",first age,fa 495[1],elves,golden,"ñoldor (house of finarfin), northern sindar, falmari (house of olwë)",,faelivrin,,,,none; betrothed to gwindor but never married and also loved turin,,,,,,,,,,,,,,,,,,,,,,,,,
142,Celebrimbor,b'https://lotr.fandom.com/wiki/Celebrimbor',Celebrimbor,"prince of the ñoldor, lord of eregion",yt?,"sa 1697, war of the elves and sauron[1][2]",elves,,"ñoldor (house of fëanor),elves of eregion (gwaith-i-mírdain)",,telperinquar,eregion,,,none,alastair duncan (shadow of mordor),,,,male,,,,,,,,,,,,,,,,,,,,
143,Curufin,b'https://lotr.fandom.com/wiki/Curufin',Curufin,"prince of the ñoldor, lord of himlad (with his brother celegorm)",during the noontide of valinor,fa 506[1],elves,dark,ñoldor (house of fëanor),,"curufin the crafty, curufinwë, atarinkë",himlad,"sword, bow, angrist",,unnamed wife[2],,,,,,,,,,,,,,,,,,,,,,,,,
144,Finw%C3%AB,b'https://lotr.fandom.com/wiki/Finw%C3%AB',Finwë,"high king of the ñoldor, ñoldóran[1]","yt ?, and perhaps firstborn",yt 1495,elves,black[1],ñoldor (house of finwë),,ñoldóran,tirionformenos,,"yt ?, during the noontide of valinor","míriel serindë, then indis",,,,,male,,,,,,,,,,,,,,,,,,,,
145,Celegorm,b'https://lotr.fandom.com/wiki/Celegorm',Celegorm,lord of himlad,during in the noontide of valinor,fa 506[1],elves,fair[3],ñoldor (house of fëanor),,"celegorm the fair, turcafinwë, tyelkormo",,sword and bow,,none[2],,,,,male,,,,,,,,,,,,,,,,,,,,
146,L%C3%BAthien,b'https://lotr.fandom.com/wiki/L%C3%BAthien',Lúthien,princess of doriath,yt 1200[1],"fa 467 (resurrected in fa 469)fa 503 (aged 3,375)",elves (half maiar),dark,sindar of doriath (house of thingol),,tinúviel,"doriath, tol galen","elf-magic, voice",,beren erchamion,,tall,dior eluchil,grey,,elu thingol & melian,,,,,,,,,,,,,,,,,,,
147,Melian,b'https://lotr.fandom.com/wiki/Melian',Melian,queen of doriath,before the ainulindalë,fa 502 (vanished to valinor),ainur,dark (physical body),maiar of yavanna,,melyanna (q.)tóril (i.)gwendeling (g.),"valinor, doriath",powers of the maiar,"yt 1152 – fa 502 (3,836 years)",elu thingol,,tall (physical body),,possibly grey (physical body),,,,,,,,,,,,,,,,,,,,,
148,Eru_Il%C3%BAvatar,b'https://lotr.fandom.com/wiki/Eru_Il%C3%BAvatar',Eru,"god of arda, creator, deity of middle-earth",,,god,,,,"the one, the all high, the father of all, alone",timeless halls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Huan,b'https://lotr.fandom.com/wiki/Huan',Huan,wolfhound of oromëmount of celegormcaptain of dogs[1],first age,fa 466,wolfhound,,wolves of valinor (great wolves),,,,"teeth, claws, powers of the valar",,,,horse-sized,,,male,,,,,,,,,,,,,,,,,,,,
150,Ungoliant,b'https://lotr.fandom.com/wiki/Ungoliant',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Thorondor,b'https://lotr.fandom.com/wiki/Thorondor',Thorondor,king of the great eagles,around the awakening of the elves,unknown,great eagles,,eagles of manwë,,sorontar,,"talons, beak, raw strength",,unknown,,30 fathoms[1],,gold,male,,,,,,,,,,,,,,,,,,,,
152,Ulmo,b'https://lotr.fandom.com/wiki/Ulmo',Ulmo,"king of the sea, lord of waters",before the creation of arda,immortal,ainur,,valar (aratar),,"ullubôz, ulubôz, lord of waters",valinor (ulmonan),,,none,,,,,,,,,,,,,,,,,,,,,,,,,
153,Orom%C3%AB,b'https://lotr.fandom.com/wiki/Orom%C3%AB',Oromë,the huntsman of the valarlord of forests,before the creation of arda,immortal,ainur,,valar (aratar),,tavrosaldaronarawarômêzbémathe great rideroromë the greattauron[1],,bowspear[2],,vána,,,,,,,,,,,,,,,,,,,,,,,,,
154,Mandos,b'https://lotr.fandom.com/wiki/Mandos',Mandos,"doomsman of the valar, fëanturi, keeper of the houses of the dead,[1] ruler of the dead",,immortal,ainur,,valar (aratar)fëanturi,,"námobannoth, badhronthe judgethe just",the halls of mandos,,,vairë,,,,,,,,,,,,,,,,,,,,,,,,,
155,Tulkas,b'https://lotr.fandom.com/wiki/Tulkas',Tulkas ,champion of the valar,before the creation of arda,immortal,ainur,golden,valar,,"tulukastāz,astaldo, tulcus,the valiant[1]",,,,nessa,,,,,,,,,,,,,,,,,,,,,,,,,
156,Nienna,b'https://lotr.fandom.com/wiki/Nienna',Nienna,,before the creation of arda,immortal,ainur,,valar (aratar),,lady of mercylady of pity and mourningnienna the compassionate,valinor (halls of nienna),,,none,,,,,,,,,,,,,,,,,,,,,,,,,
157,Est%C3%AB,b'https://lotr.fandom.com/wiki/Est%C3%AB',Estë,,before the creation of arda,immortal,ainur,,valar,,,,power of the valar,,irmo (lórien),,,,,female,,,,,,,,,,,,,,,,,,,,
158,Vair%C3%AB,b'https://lotr.fandom.com/wiki/Vair%C3%AB',Vairë,queen of the valar,before the creation of arda,immortal,ainur,,valier,,"gwîr,the weaver",,,,mandos,,,,,,,,,,,,,,,,,,,,,,,,,
159,V%C3%A1na,b'https://lotr.fandom.com/wiki/V%C3%A1na',Vána,a queen of the valar,before the creation of arda,immortal,ainur,golden,valier,,the ever-youngthe fairqueen of flowers,valinor,,,oromë,,,,,,,,,,,,,,,,,,,,,,,,,
160,Nessa,b'https://lotr.fandom.com/wiki/Nessa',Nessa,,before the creation of arda,immortal,ainur,,valar (valier),,the dancer,valinor,,years of the lamps,tulkas,,,,,,,,,,,,,,,,,,,,,,,,,
161,Tuor,b'https://lotr.fandom.com/wiki/Tuor',Tuor,lord of the house of the wing,fa 472,none; sailed into the west,men,golden,edain (house of hador)eldargondolindrim,,tûr,,"dramborleg, sword",,idril celebrindal,,tallest of all the edain,,,,,,,,,,,,,,,,,,,,,,,
162,Idril,b'https://lotr.fandom.com/wiki/Idril',Idril Celebrindal,princess of gondolin,yt 1469[2],,elves,golden,"ñoldor (house of fingolfin),gondolindrim",,"celebrindal,itaril, itarillë,itarildë[1]",gondolin,,,tuor,,tall,,,,,,,,,,,,,,,,,,,,,,,
163,Turgon,b'https://lotr.fandom.com/wiki/Turgon',Turgon,lord of nevrastking of gondolinlord of the house of the kinghigh king of the ñoldor,yt 1300[1],fa 510,elves,dark,ñoldor (house of fingolfin)gondolindrim,,"turukáno, the wise",nevrast (formerly)gondolin,glamdring,king of gondolin (fa 104 - fa 510)high king of the ñoldor (fa 473 - fa 510),elenwë,,,,,male,,,,,,,,,,,,,,,,,,,,
164,T%C3%BArin,b'https://lotr.fandom.com/wiki/T%C3%BArin',Túrin,prince of dor-lómincaptain of the gaurwaithlord of dor-cúarthol,fa 464[1],fa 499  - prophesied to return to life in the dagor dagorath to finally slay morgoth,men,dark[3],edain (house of hador),,"neithan, gorthol, mormegil, agarwaen, thurin, adanedhel, turambar, blacksword",,gurthang[2],,nienor[2],,tall,,grey[2] or blue[4],male,,,,,,,,,,,,,,,,,,,,
165,R%C3%ADan,b'https://lotr.fandom.com/wiki/R%C3%ADan',Rían,,fa 450[1],fa 473,men,,edain (house of bëor)men of dorthonion,,,,,,huor,,,,,,,,,,,,,,,,,,,,,,,,,
166,Voronw%C3%AB,b'https://lotr.fandom.com/wiki/Voronw%C3%AB',Voronwë,,first age ?,unknown,elves,,ñoldor (house of fingolfin)gondolindrim,,voronwë aranwion,,,,,,,,sea-grey[1],male,,,,,,,,,,,,,,,,,,,,
167,Orodreth,b'https://lotr.fandom.com/wiki/Orodreth',Orodreth,"warden of minas tirith, king of nargothrond",yt?,"fa 495, battle of tumhalad",elves,golden,ñoldor (house of finarfin)falmari (house of olwë)elves of nargothrond,,"artaher, arothir, artaresto",nargothrond,"sword, bow",fa 465 - fa 495[1],unnamed sindar wife,,,,,male,,,,,,,,,,,,,,,,,,,,
168,Angrod,b'https://lotr.fandom.com/wiki/Angrod',Angrod,lord of dorthonion with aegnor,yt ?,fa 455,elves,golden,ñoldor (house of finarfin)falmari (house of olwë),,angaráto,,,,eldalótë,,,,,,,,,,,,,,,,,,,,,,,,,
169,Glaurung,b'https://lotr.fandom.com/wiki/Glaurung',Glaurung,"servant of melkor, lieutenant of morgoth's army",presumably after morgoth's return to angband,fa 501,dragons,none,"fire-drakes, long-worms of the north",,"glómund, glorund[1], the deceiver, the great worm, father of dragons, the golden",,"fire, heat, magic arts, natural body weapons, commanding dark forces and minions",,,,,,yellow-orange,male,,,,,,,,,,,,,,,,,,,,
170,Fingon,b'https://lotr.fandom.com/wiki/Fingon',Fingon,high king of the ñoldor,"before 1300 yt, during the noontide of valinor",fa 472,elves,dark,ñoldor (house of fingolfin),,"findekáno, the valiant",hithlum,sword,fa 455,none,,tall,,,male,,,,,,,,,,,,,,,,,,,,
171,Fingolfin,b'https://lotr.fandom.com/wiki/Fingolfin',Fingolfin,"high king of the ñoldor, king of hithlum",yt 1190[1],fa 456,elves,dark,ñoldor (house of finwë),,ñolofinwëarakáno,"hithlum, in the beleriand[2]",ringil,fa 7 - fa 456 (449 years),anairë,,,,,male,,,,,,,,,,,,,,,,,,,,
172,Findis,b'https://lotr.fandom.com/wiki/Findis',Findis,,"years of the trees, between yt 1185 and yt 1190",unknown,elves,,ñoldor (house of finwë),,,,,,unknown,,,,,female,,,,,,,,,,,,,,,,,,,,
173,%C3%8Drim%C3%AB,b'https://lotr.fandom.com/wiki/%C3%8Drim%C3%AB',Írimë,,yt? between yt 1190 and yt 1230,unknown; possibly first age,elves,,ñoldor (house of finwë),,,,,,unknown,,,,,female,,,,,,,,,,,,,,,,,,,,
174,M%C3%ADriel,b'https://lotr.fandom.com/wiki/M%C3%ADriel',Míriel,queen of the ñoldor,,yt 1170[1],elves,silver[2],ñoldor (house of finwë),,míriel þerindë or serindë,,,,finwë,,,,dark[3],female,,,,,,,,,,,,,,,,,,,,
175,Brandir,b'https://lotr.fandom.com/wiki/Brandir',Brandir,"chieftain of the haladin,lord of brethil",fa 465,fa 499[1],men,,edain (house of haleth),,the lame,,short sword,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Ni%C3%ABnor,b'https://lotr.fandom.com/wiki/Ni%C3%ABnor',Niënor,princess of dor-lómin,fa 473[1],fa 499[1],men,golden,edain (house of hador)men of dor-lómin,,níniel,,,,túrin turambar[2],,tall[3],,blue or grey,,,,,,,,,,,,,,,,,,,,,
177,Bregalad,b'https://lotr.fandom.com/wiki/Bregalad',Bregalad,,,,ents,,,,quickbeam,fangorn,,,,,,,,male,,,,,,,,,,,,,,,,,,,,
178,Amandil,b'https://lotr.fandom.com/wiki/Amandil',Amandil,lord of andúnië,late second age ?,"sailed west either sa 3310[1] or sa 3316[1], fate unknown",men,,númenóreans (house of elros)the faithful,,,,,,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
179,Ar-Pharaz%C3%B4n,b'https://lotr.fandom.com/wiki/Ar-Pharaz%C3%B4n',Ar-Pharazôn,"king of númenor""king of men""""king of the sea""",sa 3118[1],still alive (imprisoned in the caves of the forgotten)[2],men,brown,"númenóreans (king's men), house of elros",,"tar-calion (q), ""the golden""",númenor,aranrúth,sa 3255 - sa 3319,tar-míriel,,tall,,grey,male,gimilkhâd,,,,,,,,,,,,,,,,,,,
180,Maeglin,b'https://lotr.fandom.com/wiki/Maeglin',Maeglin,lord of the house of the mole,fa 320[2],fa 510[2],elves,black,avari (moriquendi)ñoldor (house of fingolfin)gondolindrim (house of the mole),,lómion[1],,anguirel,,none,,tall,,dark,male,,,,,,,,,,,,,,,,,,,,
181,Adanel,b'https://lotr.fandom.com/wiki/Adanel',Adanel,,,,men,,edain (house of marach),,,,,,belemir,,,,,female,,,,,,,,,,,,,,,,,,,,
182,%C3%86lfwine,b'https://lotr.fandom.com/wiki/%C3%86lfwine',Ælfwine,the wandererthe marinerelf-friend,"unknown, anglo-saxon england",unknown,man,,mannish/englishman,,"(in varying mythologies) ottor wæfre, eriol, melinon, eldairon, angol, lúthien, wídlást,éadwines sunu","england ('luthany', or 'lúthien')tol eressëaheligoland",,,(in varying mythologies) cwén; naimi; a wife from cornwall,,,,,male,,,,,,,,,,,,,,,,,,,,
183,Tar-Ardamin,b'https://lotr.fandom.com/wiki/Tar-Ardamin',Tar-Ardamin,king of númenor,sa 2618[1],sa 2899[1],men,,númenóreans (king's men),,ar-abattârik [1],númenor,aranrúth,sa 2825,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
184,Ar-Ad%C3%BBnakh%C3%B4r,b'https://lotr.fandom.com/wiki/Ar-Ad%C3%BBnakh%C3%B4r',Ar-Adûnakhôr,king of númenor,sa 2709[1],sa 2962[1],men,,"númenórean (house of elros), king's men",,tar-herunúmen[1],númenor,aranrúth,sa 2899,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
185,Beleg,b'https://lotr.fandom.com/wiki/Beleg',Beleg,chief marchwarden of doriath,yt?,fa 489[1],elves,,sindar (elves of doriath),,"cúthalion, strongbow",,"anglachel, belthronding, dailir",,,,,,,male,,,,,,,,,,,,,,,,,,,,
186,Elros,b'https://lotr.fandom.com/wiki/Elros',Elros Tar-Minyatur,king of númenor,fa 532[1],sa 442,half-elven (chose to be mortal),dark,"ñoldor (house of fingolfin), sindar (house of thingol)dúnedain of númenor (house of elros)",,elerossë (q.)indilzar (a.),númenor,aranrúthdramborleg,sa 32 – 442 (410 years),unnamed wife,,tall,vardamir tindómiel manwendil atanalcar,grey,,eärendil and elwing,elrond,500,,,,,,,,,,,,,,,,,
